Sender,Subject,Date-Time,Content,Frequency
"""ARTA"" <arta@houston.rr.com>",Houston Christian Business Group---December Meeting,"Fri, 1 Dec 2000 08:10:00 -0800 (PST)","Gentlemen
?
Please see the attached notice of our December  meeting.
?
Let's focus on the Reason for the season.
?
May God bless you and your family.
?
Jack
 - Houston Christian Business Group (1).doc","[('Jack', 1), ('Let', 1), ('God', 1)]"
Enron Announcements,RSVP!,"Fri, 1 Dec 2000 08:27:00 -0800 (PST)","Planning on attending ""Scintillation"",  the Corporate Holiday Party on 
Saturday, December 9th at the Museum of Natural Science?  
Make sure you RSVP on-line at our intranet site (no www. needed) at 
holidayparty.enron.com by Tuesday, December 5th - thanks!","[('December', 2), ('Science', 1), ('Tuesday', 1)]"
Office of the Secretary <TGroup@COMPAQ.com>,SEC Filings for November 2000 Activity,"Fri, 1 Dec 2000 08:48:00 -0800 (PST)","Dear All,

We are preparing to file Form 4s for transactions in the month of October.
Our records indicate that you did not have any transactions in Compaq stock
[other than possible purchases of Compaq stock through the ESPP or 401(k)
plan].  If this is true, then you do not need to do anything.

If this assumption is incorrect, please email me by the end of the day on
Tuesday, December 5 with transactions for open market trades, stock option
exercises, deferred compensation or 401(k) exchanges (including purchases
from dividend reinvestments), gifts, shares held by family members or
trusts in which you have a controlling interest, etc.  If you have any
questions please call me at 281-518-2189 or Linda at 281-514-1433.

 Regards,

Connie Levo
Corporate Law Group  ll773
Compaq Computer Corporation
20555 SH 249
Houston, Texas  77070
Phone:  281-518-2189
Fax:  281-518-1058
Internet:  Connie.Levo@compaq.com
","[('If', 3), ('Compaq', 3), ('stock', 3)]"
"""Morrissey, Kathi"" <Kathi.Morrissey@COMPAQ.com>",Recall: SEC Filings for November 2000 Activity,"Fri, 1 Dec 2000 08:52:00 -0800 (PST)","Morrissey, Kathi would like to recall the message, ""SEC Filings for November
2000 Activity"".","[('like', 1), ('SEC', 1), ('November', 1)]"
Office of the Secretary <TGroup@COMPAQ.com>,SEC Filings for November 2000 Activity,"Fri, 1 Dec 2000 08:53:00 -0800 (PST)","Dear All,

We are preparing to file Form 4s for transactions in the month of  November.
Our records indicate that you did not have any transactions in Compaq stock
[other than possible purchases of Compaq stock through the ESPP or 401(k)
plan].  If this is true, then you do not need to do anything.

If this assumption is incorrect, please email me by the end of the day on
Tuesday, December 5 with transactions for open market trades, stock option
exercises, deferred compensation or 401(k) exchanges (including purchases
from dividend reinvestments), gifts, shares held by family members or
trusts in which you have a controlling interest, etc.  If you have any
questions please call me at 281-518-2189 or Linda at 281-514-1433.

 Regards,

Connie Levo
Corporate Law Group  ll773
Compaq Computer Corporation
20555 SH 249
Houston, Texas  77070
Phone:  281-518-2189
Fax:  281-518-1058
Internet:  Connie.Levo@compaq.com
","[('If', 3), ('Compaq', 3), ('stock', 3)]"
Leonardo Pacheco,"EnronOnline Executive Summary for November, 30 2000","Fri, 1 Dec 2000 09:50:00 -0800 (PST)","Following please find the Daily EnronOnline Executive Summary.

EnronOnline Executive Summary for 11/30/00
Transaction Summary	
External Transactions Today	4,775
Average Daily External Transactions (30 day Trailing Avg)	3,968
Total Life to Date Transactions	483,470

EnronOnline Daily % of Entity's Total Transactions for 11/30/00	Trans	Percent
Enron North America	4,131	79%
Enron Europe Limited	134	30%
Global Products	153	30%
Enron Metals	357	15%

EnronOnline Percentage of Total Corporate Transactions 
(30 day Trailing Avg)	53%

Gross Notional Value of EnronOnline Transactions	Total
Today	4,568,215,030
MTD	65,741,712,630
LTD	279,170,417,046
Average Daily Notional Value (30 Day Trailing Avg)	2,880,077,033
	
Notional Revenue from Physical Flows to Date	18,670,077,737

Counterparties, Users, and Products Offered	
Counterparties having transacted to date	588
New Counterparties transacting for the first time today	4
Number of Products Offered Today	1,128
Total Number of External Users Logged on Today	3,115
Average # of External Users logged on (30 day Trailing Avg)	2,864","[('Transactions', 6), ('Total', 5), ('EnronOnline', 5)]"
"""Jane Allen"" <magnolia3@earthlink.net>",Columbia River Gorge wind power project,"Sat, 2 Dec 2000 14:54:00 -0800 (PST)","This message is a request to Enron to abandon the wind power project which
would desecrate sacred burial and cultural sites and threaten endangered
species and the scenic area in the Columbia River Gorge area.  The area,
located near Celilo Falls and the confluence of the Columbia River with the
John Day and Deschutes Rivers is renowned for its environmental, scenic,
Indigenous and European cultural and historical significance.

","[('area', 3), ('scenic', 2), ('River', 2)]"
"""Mehta, Dulari Pradip (UMC-Student)"" <dpm630@mizzou.edu>",met at Davenport Dinner,"Sun, 3 Dec 2000 00:59:00 -0800 (PST)","Dear Mr.Lay,

I hope this email finds you looking forward to the approching holiday
season. I thought I would take this opportunity to drop you a quick email
and express my interest in Enron for my future. My name is Dulari Mehta and
we first met at the Davenport Society Dinner in October at the University of
Missouri-Columbia. I was escorting Mr. Walker and I was sitting at your
table. I again had a chance to speak with you at the Mosaic Society Dinner
in November. On both occasions I enjoyed speaking with you and exchanging
ideas about India.

As this semester closes and I begin to plan my next one, I am looking at
opportunites that await me once I graduate in May of 2001. I have spent some
time looking at your website and I am very intersted in Enron as a possible
place to work. I am especially interested in your project management area
and/or international opportunities. I have attached my resume to this email.
I would love to hear from you as to your thoughts on my resume and a
possible future at Enron.

All my current and permanent contact information is on my resume. I will be
out of the country and in India from December 22 to January 13. I hope you
and your family have a wonderful holiday season. I very eagerly await
hearing from you.

Thank you for you time and consideration,
Dulari Mehta


 - Resume2.doc","[('I', 18), ('email', 3), ('Enron', 3)]"
"""Bass, Mary"" <MBass@SpencerStuart.com>","Availability for Thursday, January 11, Board Panel","Mon, 4 Dec 2000 01:54:00 -0800 (PST)","Topic:  The Increasingly Critical Role of Boards in Today's Rapidly Changing

World

Here is the concept:

Today's Board of Directors are confronted by unprecedented complex issues
(globalization, optimizing board size for responsiveness, CEO
disintermediation, diversity, option repricing, CEO evaluation, board member

removal, increasing importance of audit committee, diverse shareholder time
horizons (for whom do we manage?)

These Board issues confront both large established companies as well as
emerging growth companies.  Spencer Stuart would like to host a provocative
examination of  issues common to Boards of today as a panel delves into some

of the issues common to boards at both ends of the spectrum.

Spencer Stuart is the market dominator in Board of Directors work.  Tom Neff

and Julie Daum, leaders of SpencerStuart's global board practice, will lead
a
lively discussion with our distinguished panel.

Target                   CEO's and Board Members
Audience:

Format:                 Invitation Only

Anticipated
Audience:               25-30

Time and Place:      8 am, Omni Hotel
    Houston, TX

We feel that it would be very powerful (and we would be most appreciative)
to
have Ken and Mark Lay on the panel addressing issues confronting boards of
today, representing their respective backgrounds and experiences of serving
on boards.

I'd be happy to go over this in greater detail.  Call me at (713) 225-1621.

Please let me know as soon as possible if this date works with your
calendar.

Mary (Bass)

","[('issues', 5), ('Board', 4), ('would', 3)]"
"""Leo Linbeck III"" <leo3@linbeck.com>",Institute for Advance Study in Musical Theatre,"Mon, 4 Dec 2000 02:02:00 -0800 (PST)","Ken,

I just wanted to drop you an email to touch base on the Institute.

Yesterday, I went to see Stuart's workshop of three new original musical
theatre productions at UH. It was very exciting, and even more so knowing
that we can take his efforts to a new level with the establishment of the
Insitute.

Anyway, I just wanted to check in with you. I hope all is well, and look
forward to hearing back from you.

L3

PS - congrats on the Arena vote!","[('I', 4), ('new', 2), ('wanted', 2)]"
<Alberto_Jaramillo@putnaminv.com>,Stock Withdrawal question,"Wed, 6 Sep 2000 02:10:00 -0700 (PDT)","Hello,

My father is Agustin Jaramillo.  He works for Enron at Logan airport.  He
wants to know how you go about making a stock withdrawal.  He is vested in
13 shares.  His Grant ID# is 130566.  Any information that you could
provide me would be great.  If I can be of any assistance, please feel free
to call me at 617-760-2764.

Thanks,
Alberto","[('He', 3), ('assistance', 1), ('Hello', 1)]"
"""Moira Whelan"" <MWhelan@CSIS.ORG>",Forthcoming in your next issue of The Washington Quarterly,"Mon, 4 Dec 2000 06:12:00 -0800 (PST)","How is CINCPAC reshaping security arrangements in the Asia-Pacific?
How, if at all, should the U.S. engage North Korea, Cuba, Iran, and Iraq?
How does the rest of the world view Bill Clinton's legacy?
Does Fidel Castro worry about his own legacy?
What is the regional impact of the AIDS pandemic?
Has the U.S. economy really been globalized?

Find the answers in the Winter 2000-2001 issue of The Washington Quarterly,=
=20
now available on-line at www.twq.com

In this issue:
Provocations
From Wheels to Webs: Reconstructing Asia-Pacific Security Arrangements
    -- Dennis C. Blair and John T. Hanley Jr.
Fear Moves East: Terror Targets the Pacific Rim
   =02=05 Joshua Kurlantzick
As Fidel Fades  =02=05 Georgie Anne Geyer
The Fundamental Internet Tax Debate =02=05 Murray Weidenbaum
Has the U.S. Economy Really Been Globalized?-- Robert M. Dunn Jr.

Containment's Last Stand
The Politcs of Dismantling Containment =02=05 Meghan L. O'Sullivan
North Korea: The Leader of the Pack-- Joel S. Wit
Cuba: The End of an Era-- Daniel W. Fisk
Iran: Can the United States Do a Deal?-- Geoffrey Kemp
Iraq: The Exception to the Rule-- Judith S. Yaphe

What is Clinton's International Legacy?
Clinton's World: Purpose, Policy and Weltanschauung =02=05 Josef Joffe
The Eye of the the Transitional Storm =02=05 Shahram Chubin
Legacy to the World's Poorest Nations =02=05 Michael Chege
The Asian Legacy in Focus =02=05 Frank Ching
As Clinton Leaves the Ring =02=05 Yasuhiro Nakasone

The Regional Impact of HIV and AIDS
Joinign Forces to Fight HIV and AIDS =02=05 Sandra L. Thurman
The African Pandemic Hits Washington =02=05 J. Stephen Morrison
Accelerating and Disseminating across Asia =02=05 Chris Beyrer
Caribbean Crossroads =02=05 Peggy McEvoy

Charles Cook on Washington
The End of Politics? Looking Beyond the Election
Charles E. Cook Jr.

All articles are available in full text at www.twq.com","[('The', 11), ('Clinton', 4), ('AIDS', 3)]"
Steven J Kean,,"Mon, 4 Dec 2000 06:54:00 -0800 (PST)","Attached are several documents which capture our positions in reaction to 
power and gas pricing, particularly in California.  Included are a detailed 
set of solutions to California's power market woes, which we have provided in 
California and at FERC; a representative speech, and a talking point summary 
designed for more general audiences and the media.  The gas paper was 
prepared in September and needs updating, but I have included it as well.  I 
will get a more integrated message put together and circulated.


   



   ","[('California', 3), ('gas', 2), ('power', 2)]"
"""Patrick Oxford"" <poxford@bracepatt.com>",Cindy Olson,"Mon, 4 Dec 2000 07:30:00 -0800 (PST)","Clay--Cindy is the Executive VP for HR at Enron Corp who I have observed 
operate in several contexts.    At Ken Lay's request,  she ran the Governor's 
Business Council while I was GC and has been  an active and effective 
spokesperson for Enron.   She is now one of his top executives.

In Clay-speak,   she is a top quality ""all around athlete.""  Ken called me 
this morning to tell me that Cindy had expressed a high interest and capacity 
to work for you in the transition.    I know you are getting many calls of 
this sort,  but this is one you may want to look at.   She's attractive,  
articulate,  experienced,   a great team player,  energetic and a focused 
worker.  She might make someone a terrific #1 although she is capable or 
working at a high level without adult supervision.

Ken is going to send her resume to me,   and indicated that he planned to 
mention her name to Secretary Cheney whom he knows and has spoken to a time 
or two in recent weeks.  I will forward her resume to you as soon as I have 
it.

No need to responnd,  but call me it you have questions.   713.221.1432.

Thanks,  Clay.

pat","[('I', 5), ('Ken', 3), ('She', 3)]"
BROWN_MARY_JO@LILLY.COM,Transactions in Lilly Stock,"Mon, 4 Dec 2000 09:10:00 -0800 (PST)","This is a reminder of your ongoing obligation to report to the Securities
and Exchange Commission (""SEC"") transactions in Lilly stock.  In light of
the complexity of the reporting rules and the potential for severe
penalties for noncompliance, please contact me in advance of any
transaction.  As a reminder, the SEC rules cover all transactions,
including:

-   purchases
-   sales
-   gifts
-   trust or partnership transactions
-   transactions in the Dividend Reinvestment Plan
-   exchange fund transactions

We request advance notification of Lilly stock transactions for two
reasons:

   There are certain times when you should not engage in market
   transactions in Lilly stock.  Routinely, these ""black-outs"" occur around
   the end of each quarter through the time quarterly/annual earnings are
   announced.  In addition, occasionally, we are aware of ""inside
   information"" that may be considered material and we therefore advise our
   reporting persons to avoid open market transactions in Lilly stock.
   While you may not know of the event, the knowledge may be imputed to
   you.  Advance communication allows you to avoid situations that may have
   legal consequences, or if not, at least may cause embarassment.

2.   We prepare for you the required reports of the transaction to the SEC.

If you had any Lilly stock transactions in November, please advise me as
soon as possible.  We will prepare the required reports for your signature
and file them with the SEC and the New York Stock Exchange (""NYSE"").  The
reports must be received by the SEC and the NYSE no later than the 10th day
of the month following the month in which the transaction occurs.  If I am
not available, please contact Jim Lootens (317-276-5835) regarding any
proposed transaction.

If you have any questions regarding these matters, please do not hesitate
to call me.  Thank you for your cooperation.

Alecia A. DeCoudreaux
","[('transactions', 9), ('SEC', 5), ('stock', 5)]"
"""Nina B. Shapiro"" <nshapiro@ifc.org>",thank you,"Mon, 4 Dec 2000 09:33:00 -0800 (PST)","Ken,
     Thank you very much for giving Gordon and me so much time.  It was a
real pleasure seeing you again, and I certainly hope we get to do something
together.  Gordon and Greg are going to continue their discussion around
specific issues.  For IFC, I am actively talking to your team on weather
insurance and  think we can proceed.   It would good for me to stay in
touch with you---I have already explained to Peter Woicke, the head of IFC,
that Enron  and GEC are really the models for us in modern finance and
markets.   If you ever have time in Washington, please do give a call.
Have a wonderful holiday season.
Best,   Nina","[('IFC', 2), ('much', 2), ('Gordon', 2)]"
Mark Lay,"Week of December 4, 2000 Update","Mon, 4 Dec 2000 09:17:00 -0800 (PST)","Client Companies
Visual Bridge - The company is negotiating content/streaming transactions 
with two Latin American clients.  Expect to close one or both transactions by 
year end.  Initiated discussions with EBS to review technology for EBS 
clients.
Cynet - Expect to close sale of fax broadcast business by December 15, but 
will have to finance $3.5 mm of $7.0 mm purchase price.  We are evaluating 
alternative structures to address collateral issues and pay down a portion of 
our existing preferred position.
Illusions Screen Printing - Moore Business Systems (an Enron Vendor) is very 
late on a significant receivable for the company.  We are working with Enron 
personel to address the issue.
American Communication Services - Increasing SWB agency business and 
developing prime contractor relationship with SWB.
Treasury Connect - The company is having limited success in fund raising.  
Currently the company is negotiating with TH Lee, Softbank and Reuters for 
investments.  Paribas has committed to a private label portal transaction and 
Deutsche Bank is reviewing a proposal.  With no new revenues, the company 
will run out of cash at the end of January.  If currently anticipated 
consulting and private label transactions are completed, the company should 
be able to operate through March without additional financing.
Cabo's - Indicated that their liquor license had not been issued yet because 
of delays caused by a background review of one of the limited partners.  
Expect to have this addressed shortly.

New Transactions
Urban Financial - Expect closing December 15.  Our client negotiated a 
significant reduction in the purchase price, in large part, because of an 
equity funding shortfall.  Capital ratios for the bank will remain strong and 
the new bank has already received indications of commitments from State of 
Connecticut agencies.
Custom Feeds - Omni Bank is preparing their documents.  All other documents 
have been drafted and are being reviewed.
Wilson Financial - Received financing term sheet from Chase Bank.

If you have any questions, please call.

Thanks,
mark


Mark Lay
Enron Investment Partners
333 Clay St., suite 3700
Houston, TX 77002
p 713-853-7408
f 713-345-7670","[('company', 6), ('Expect', 4), ('transactions', 3)]"
rocky.emery@PaineWebber.COM,"U.S. Portfolio Managers' Spotlight:December 1, 2000","Mon, 4 Dec 2000 10:59:00 -0800 (PST)","The enclosed research report is being sent to you from PaineWebber by:

 Emery Financial Group

 713-957-7019

 rocky.emery@PaineWebber.COM

Please contact them if you have any questions or would like to discuss this 
material.

The information contained in the attached research report is believed to be 
reliable, but its accuracy is not guaranteed.  PaineWebber Incorporated 
and/or Mitchell Hutchins Asset Management Inc., affiliated companies and/or 
their officers, directors, employees or stockholders may at times have a 
position, including an arbitrage position, in the securities described herein 
and may sell or buy them to or from customers.  These companies may from time 
to time act as a consultant to a company being reported upon.

You will need the Adobe Acrobat Reader to view this document.  If you don't 
already have it just click on this link, 
http://www.adobe.com/prodindex/acrobat/readstep.html, and follow the 
on-screen instructions.  The Acrobat Reader is free of charge.



 - P004484220001201D01.pdf","[('The', 3), ('may', 3), ('PaineWebber', 2)]"
Leonardo Pacheco,"EnronOnline Management Report for December 1, 2000","Mon, 4 Dec 2000 10:29:00 -0800 (PST)","Following please find the Weekly Management Report and the Daily Executive 
Summary. 

EnronOnline Executive Summary for 12/01/00
Transaction Summary	
External Transactions Today	4,539
Average Daily External Transactions (30 day Trailing Avg)	4,025
Total Life to Date Transactions	488,009

EnronOnline Daily % of Entity's Total Transactions for 12/01/00	Trans	Percent
Enron North America	3,899	79%
Enron Europe Limited	117	28%
Global Products	203	36%
Enron Metals	320	15%

EnronOnline Percentage of Total Corporate Transactions 
(30 day Trailing Avg)	54%

Gross Notional Value of EnronOnline Transactions	Total
Today	4,255,745,809
MTD	4,255,745,809
LTD	283,426,270,674
Average Daily Notional Value (30 Day Trailing Avg)	2,956,198,997
	
Notional Revenue from Physical Flows to Date	18,868,239,985

Counterparties, Users, and Products Offered	
Counterparties having transacted to date	591
New Counterparties transacting for the first time today	3
Number of Products Offered Today	1,074
Total Number of External Users Logged on Today	2,957
Average # of External Users logged on (30 day Trailing Avg)	2,873

Also attached is the Weekly Public Domain Report, containing information 
which is intended for use in presentations or reports which will be seen by 
individuals outside Enron.

                    ","[('Transactions', 6), ('Total', 5), ('Avg', 4)]"
Julie Cobb,Chairman's Award,"Tue, 5 Dec 2000 01:53:00 -0800 (PST)","Dear Mr.s Lay and Skilling

Thank you; I just received my t-shirt and letter regarding the Chairman's 
award nomination.  I was really flattered to have received that mention.  The 
traits sought by the Chairman's award are those I would really like to 
exemplify; respect, communication, integrity, and excellence.  To even have 
been considered worthy is exciting and humbling.  I know that truly most 
people at Enron hope to display these values, and for you to have designed an 
award to recognize them is really inspiring.

In short, it meant a lot to me, to have been mentioned for the Chairman's 
award within a company of which I am so proud.  I know it will mean a great 
deal to the person I will seek to nominate, when I next have the opportunity.

Thank you.
Sincerely,
Julia Cobb
","[('I', 8), ('award', 4), ('Chairman', 3)]"
